id,title,overview,genres,keywords,adult
38,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.","['Science Fiction', 'Drama', 'Romance']","['new york city', 'regret', 'jealousy', 'deja vu', 'amnesia']",False
1056803,Rascal Does Not Dream of a Sister Venturing Out,"After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet—attending her brother's high school! Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her...or what she really wants...","['Animation', 'Drama', 'Fantasy']","['supernatural', 'sequel', 'anime', 'japanese high school', 'based on light novel']",False
1286185,The Carpenter's Son,"A remote village in Roman-era Egypt explodes into spiritual warfare when a carpenter, his wife and their child are targeted by supernatural forces.",['Horror'],"['faith', 'greece', 'crete', 'carpenter', 'temptation']",False
761898,Sword Art Online the Movie – Progressive – Aria of a Starless Night,"One month after Kayaba Akihiko's game of death began, the death toll continues to rise, two thousand players having already lost their lives to the ultra-difficult VRMMO world of Sword Art Online. On the day of the strategy meeting to plan out the first-floor boss battle, Kirito, a solo player who vows to fight alone to get stronger, runs into a rare, high-level female player. She gracefully dispatches powerful monsters with a single rapier that flashes like a shooting star in the night...","['Animation', 'Action', 'Fantasy', 'Science Fiction']","['monster', 'video game', 'virtual reality', 'fight', 'romance']",False
1581099,Kevin Hart: Acting My Age,"Older, wiser — and still hilarious. Kevin Hart opens up about his midlife mishaps, from intimacy pills to the perils of unexpected injuries.",['Comedy'],['stand-up comedy'],False
1581099,Kevin Hart: Acting My Age,"Older, wiser — and still hilarious. Kevin Hart opens up about his midlife mishaps, from intimacy pills to the perils of unexpected injuries.",['Comedy'],['stand-up comedy'],False
1581099,Kevin Hart: Acting My Age,"Older, wiser — and still hilarious. Kevin Hart opens up about his midlife mishaps, from intimacy pills to the perils of unexpected injuries.",['Comedy'],['stand-up comedy'],False
1581099,Kevin Hart: Acting My Age,"Older, wiser — and still hilarious. Kevin Hart opens up about his midlife mishaps, from intimacy pills to the perils of unexpected injuries.",['Comedy'],['stand-up comedy'],False
55,Amores Perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.","['Drama', 'Thriller']","['daughter', 'secret love', 'homeless person', 'mexico city, mexico', 'money']",False
58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","['Adventure', 'Fantasy', 'Action']","['witch', 'daughter', 'ship', 'exotic island', 'bondage']",False
62,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","['Science Fiction', 'Mystery', 'Adventure']","['man vs machine', 'moon', 'jupiter', 'artificial intelligence (a.i.)', 'based on novel or book']",False
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.","['Science Fiction', 'Thriller', 'Mystery']","['biological weapon', 'philadelphia, pennsylvania', 'schizophrenia', 'stockholm syndrome', 'airplane']",False
64,Talk to Her,Two men share an odd friendship while they care for two women who are both in deep comas.,"['Drama', 'Romance']","['dying and death', 'journalist', 'friendship', 'suicide', 'rape']",False
64,Talk to Her,Two men share an odd friendship while they care for two women who are both in deep comas.,"['Drama', 'Romance']","['dying and death', 'journalist', 'friendship', 'suicide', 'rape']",False
68,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.","['Comedy', 'Science Fiction']","['dreams', 'government', 'bureaucracy', 'police state', 'great britain']",False
70,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",['Drama'],"['dying and death', 'transporter', 'strong woman', 'stroke of fate', 'advancement']",False
71,Billy Elliot,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.","['Drama', 'Comedy', 'Music']","['dancing', 'friendship', 'dreams', 'dancing class', 'northern england']",False
1597512,Doully : Hier j'arrête !,,['Comedy'],"['stand-up comedy', 'punk', 'comedy', 'funny', 'female comedian']",False
73,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",['Drama'],"['prison', 'neo-nazism', 'rape', 'skinhead', 'sibling relationship']",False
74,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.","['Adventure', 'Thriller', 'Science Fiction']","['daughter', 'new jersey', 'post-traumatic stress disorder (ptsd)', 'airplane', 'based on novel or book']",False
180299,The Raid 2,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.","['Action', 'Crime', 'Thriller']","['prison', 'martial arts', 'police', 'undercover', 'fight']",False
76,Before Sunrise,"An unexpected meeting on a train leads two travelers to spend an evening wandering through Vienna. As the night unfolds, they share stories and conversations about life and love, exploring new ideas while a quiet intimacy grows between them, knowing it may be their only night together.","['Drama', 'Romance']","['talking', 'soulmates', 'walking', 'austria', 'vienna, austria']",False
77,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","['Mystery', 'Thriller']","['drug dealer', 'amnesia', 'insulin', 'tattoo', 'waitress']",False
78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","['Science Fiction', 'Drama', 'Thriller']","['android', 'flying car', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics']",False
426063,Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","['Horror', 'Fantasy']","['cold', 'based on novel or book', 'vampire', 'necrophilia', 'eroticism']",False
80,Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.","['Drama', 'Romance']","['journalist', 'talking', 'soulmates', 'walking', 'paris, france']",False
81,Nausicaä of the Valley of the Wind,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.","['Adventure', 'Animation', 'Fantasy']","['future', 'airplane', 'saving the world', 'human vs nature', 'fungus spores   ']",False
24657,The Sacrifice,"Alexander, a journalist, philosopher and retired actor, celebrates a birthday with friends and family when it is announced that nuclear war has begun.",['Drama'],"['nuclear war', 'philosopher', 'world war iii', 'philosophical', 'reflective']",False
1433680,The Dinner,"Spain, April 15, 1939. With the Civil War concluded, and with the intention of celebrating his victory, General Franco attends a dinner with his generals at the Palace Hotel.","['Comedy', 'History']","['franco regime (francoism)', 'post spanish civil war']",False
475215,Mirai,"Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house in order to help him become the big brother he was meant to be.","['Animation', 'Family', 'Fantasy', 'Adventure', 'Drama']","['time travel', 'family relationships', 'train', 'adult animation', 'railway station']",False
85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","['Adventure', 'Action']","['egypt', 'treasure', 'medallion', 'swastika', 'saving the world']",False
85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","['Adventure', 'Action']","['egypt', 'treasure', 'medallion', 'swastika', 'saving the world']",False
87,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","['Adventure', 'Action']","['treasure', 'skeleton', 'wind', 'elephant', 'heart']",False
1572952,Yuri's Ring,"Yoshii, a middle-aged man with a dull personality, runs a run-down bar. The bar barely manages to survive thanks to the support of longtime regulars. His only salvation is the hostess Ayumi. However, Ayumi,  decides to retire to marry regular customer Kataoka. Yoshii is driven to despair, but Ayumi introduces Yuri to him. At first sight, Yoshii sees her as his late daughter, Akiyo... (Third film about the bar owner Goro Yoshii, after ""Sunflower Days"" and ""Akemi Bar""). [Exists in two versions (R15+ and R18+) with different titles].",[],"['softcore', 'pink film']",False
89,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!","['Adventure', 'Action']","['saving the world', 'nazi', 'holy grail', 'venice, italy', 'entrapment']",False
1237082,31 Minutes: One Hot Christmas,"Puppeton, the town of 31 Minutes, faces such an infernally hot Christmas that Santa Claus cancels his visit! Bodoque the rabbit heroically volunteers to rescue the presents from the North Pole, while his friends improvise a disastrous Christmas show. But what they don't expect is Bodoque giving in to some irresistible temptations along the way.","['Family', 'Comedy', 'Adventure', 'Music']","['puppet', 'saving christmas', 'chile', 'christmas', 'chilean']",False
41050,La Notte,A day in the life of an unfaithful married couple and their steadily deteriorating relationship in Milan.,"['Drama', 'Romance']","['infidelity', 'milan', 'hospital', 'writer', 'socialite party']",False
93,Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.","['Crime', 'Drama', 'Mystery']","['adultery', 'jealousy', 'rape', 'based on novel or book', 'court case']",False
93,Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.","['Crime', 'Drama', 'Mystery']","['adultery', 'jealousy', 'rape', 'based on novel or book', 'court case']",False
